doc_id,doc_type,quality_profile,overall_confidence,routing_decision,is_corrupt
DOC-CLM-017,claim,low_res_scan,0.791,HUMAN_REVIEW_QUEUE,False
DOC-CLM-018,claim,digital_clean,0.888,HUMAN_REVIEW_QUEUE,False
DOC-CLM-019,claim,low_res_scan,0.778,HUMAN_REVIEW_QUEUE,False
DOC-CLM-020,claim,digital_clean,0.881,HUMAN_REVIEW_QUEUE,False
DOC-CLM-021,claim,digital_clean,0.885,HUMAN_REVIEW_QUEUE,False
DOC-CLM-022,claim,noisy_background,0.749,HUMAN_REVIEW_QUEUE,False
DOC-CLM-023,claim,noisy_background,0.744,HUMAN_REVIEW_QUEUE,False
DOC-CLM-024,claim,noisy_background,0.752,HUMAN_REVIEW_QUEUE,False
DOC-CLM-025,claim,noisy_background,0.752,HUMAN_REVIEW_QUEUE,False
DOC-CLM-026,claim,low_res_scan,0.792,HUMAN_REVIEW_QUEUE,False
DOC-CLM-027,claim,low_res_scan,0.777,HUMAN_REVIEW_QUEUE,False
DOC-CLM-028,claim,noisy_background,0.743,HUMAN_REVIEW_QUEUE,False
DOC-CLM-029,claim,noisy_background,0.738,HUMAN_REVIEW_QUEUE,False
DOC-CLM-030,claim,digital_clean,0.887,HUMAN_REVIEW_QUEUE,False
DOC-CLM-031,claim,digital_clean,0.882,HUMAN_REVIEW_QUEUE,False
DOC-CLM-032,claim,handwritten_field,0.79,HUMAN_REVIEW_QUEUE,False
DOC-CLM-033,claim,handwritten_field,0.771,HUMAN_REVIEW_QUEUE,False
DOC-CLM-034,claim,handwritten_field,0.781,HUMAN_REVIEW_QUEUE,False
DOC-CLM-035,claim,invalid_corrupt,0.0,REJECTED,True
DOC-IDC-001,id_card,noisy_background,0.816,HUMAN_REVIEW_QUEUE,False
DOC-IDC-002,id_card,noisy_background,0.816,HUMAN_REVIEW_QUEUE,False
DOC-IDC-003,id_card,low_res_scan,0.859,AUTO_ACCEPTED,False
DOC-IDC-004,id_card,noisy_background,0.815,HUMAN_REVIEW_QUEUE,False
DOC-IDC-005,id_card,noisy_background,0.817,HUMAN_REVIEW_QUEUE,False
DOC-IDC-006,id_card,handwritten_field,0.885,HUMAN_REVIEW_QUEUE,False
DOC-IDC-007,id_card,digital_clean,0.972,AUTO_ACCEPTED,False
DOC-IDC-008,id_card,digital_clean,0.971,AUTO_ACCEPTED,False
DOC-IDC-009,id_card,handwritten_field,0.889,HUMAN_REVIEW_QUEUE,False
DOC-IDC-010,id_card,digital_clean,0.968,AUTO_ACCEPTED,False
DOC-IDC-011,id_card,low_res_scan,0.882,AUTO_ACCEPTED,False
DOC-IDC-012,id_card,noisy_background,0.822,HUMAN_REVIEW_QUEUE,False
DOC-IDC-013,id_card,noisy_background,0.816,HUMAN_REVIEW_QUEUE,False
DOC-IDC-014,id_card,digital_clean,0.974,AUTO_ACCEPTED,False
DOC-IDC-015,id_card,noisy_background,0.812,HUMAN_REVIEW_QUEUE,False
DOC-IDC-016,id_card,digital_clean,0.978,AUTO_ACCEPTED,False
DOC-IDC-017,id_card,low_res_scan,0.865,AUTO_ACCEPTED,False
DOC-IDC-018,id_card,noisy_background,0.802,HUMAN_REVIEW_QUEUE,False
DOC-IDC-019,id_card,handwritten_field,0.861,HUMAN_REVIEW_QUEUE,False
DOC-IDC-020,id_card,low_res_scan,0.843,HUMAN_REVIEW_QUEUE,False
DOC-IDC-021,id_card,low_res_scan,0.869,AUTO_ACCEPTED,False
DOC-IDC-022,id_card,handwritten_field,0.89,HUMAN_REVIEW_QUEUE,False
DOC-IDC-023,id_card,digital_clean,0.979,AUTO_ACCEPTED,False
DOC-IDC-024,id_card,noisy_background,0.819,HUMAN_REVIEW_QUEUE,False
DOC-IDC-025,id_card,digital_clean,0.974,AUTO_ACCEPTED,False
DOC-IDC-026,id_card,low_res_scan,0.877,AUTO_ACCEPTED,False
DOC-IDC-027,id_card,low_res_scan,0.856,AUTO_ACCEPTED,False
DOC-IDC-028,id_card,digital_clean,0.97,AUTO_ACCEPTED,False
DOC-IDC-029,id_card,noisy_background,0.809,HUMAN_REVIEW_QUEUE,False
DOC-IDC-030,id_card,invalid_corrupt,0.0,REJECTED,True
